type,client,tx,amount
deposit,9,1141,363.4392
deposit,1,1142,10.2172
deposit,13,1143,197.0260
dispute,11,1041
deposit,12,1145,159.2613
deposit,4,1146,18.2244
deposit,7,1147,472.7060
deposit,9,1148,376.0301
dispute,12,1112
resolve,8,803
dispute,10,896
withdrawal,11,1152,234.7434
withdrawal,12,1153,287.0947
dispute,11,391
resolve,10,896
deposit,9,1156,163.2177
withdrawal,8,1157,18.5801
dispute,12,1110
withdrawal,7,1159,104.0166
withdrawal,6,1160,18.5474
deposit,7,1161,517.1544
deposit,1,1162,26.1886
deposit,12,1163,318.0960
deposit,20,1164,227.3264
withdrawal,9,1165,60.9537
deposit,16,1166,440.9757
deposit,17,1167,293.3084
deposit,4,1168,6.4989
withdrawal,12,1169,210.7286
withdrawal,17,1170,166.9451
resolve,15,1012
dispute,15,696
deposit,4,1173,21.6162
deposit,1,1174,34.7469
resolve,13,358
dispute,17,647
withdrawal,20,1177,78.8946
deposit,1,1178,45.5233
deposit,13,1179,26.2537
deposit,1,1180,13.4171
deposit,8,1181,447.8268
deposit,14,1182,535.7067
dispute,19,97
deposit,16,1184,519.1773
deposit,4,1185,45.0304
deposit,7,1186,478.5459
deposit,10,1187,519.7469
resolve,6,359
withdrawal,6,1189,329.9932
deposit,5,1190,37.2288
deposit,1,1191,9.4156
dispute,17,493
resolve,14,379
deposit,9,1194,316.7418
deposit,3,1195,29.6690
withdrawal,13,1196,214.1748
deposit,3,1197,3.1554
dispute,20,389
deposit,18,1199,142.4317
deposit,9,1200,313.3821
withdrawal,12,1201,105.5745
withdrawal,14,1202,326.9316
deposit,11,1203,539.9048
deposit,7,1204,403.9979
deposit,11,1205,306.7167
resolve,11,1041
withdrawal,8,1207,292.5460
deposit,12,1208,520.9852
dispute,8,419
deposit,4,1210,44.7587
deposit,19,1211,456.4369
withdrawal,15,1212,200.7124
deposit,5,1213,34.1111
deposit,18,1214,333.7704
deposit,14,1215,45.0385
deposit,1,1216,42.1101
dispute,19,1055
deposit,9,1218,119.1468
deposit,3,1219,23.8089
dispute,16,710
withdrawal,6,1221,12.8943
withdrawal,18,1222,196.2731
deposit,5,1223,7.7833
deposit,19,1224,206.3597
deposit,9,1225,527.8678
resolve,20,181
withdrawal,17,1227,106.3646
resolve,12,739
deposit,17,1229,521.3530
resolve,13,182
deposit,1,1231,46.6252
withdrawal,14,1232,15.2611
resolve,11,343
deposit,10,1234,128.1832
resolve,19,718
withdrawal,20,1236,71.7877
deposit,4,1237,15.0456
withdrawal,9,1238,159.5137
deposit,3,1239,10.4224
withdrawal,12,1240,219.9433
deposit,1,1241,30.9339
deposit,4,1242,46.2190
deposit,13,1243,153.8689
deposit,7,1244,599.0758
deposit,16,1245,459.2214
deposit,3,1246,3.8734
deposit,3,1247,10.5326
resolve,12,1110
deposit,3,1249,18.7416
deposit,10,1250,335.9006
deposit,19,1251,211.9412
withdrawal,13,1252,334.8695
deposit,1,1253,44.2731
resolve,7,76
deposit,5,1255,4.9385
withdrawal,19,1256,212.8814
dispute,13,585
deposit,16,1258,123.6905
deposit,2,1259,46.0071
deposit,10,1260,512.7445
withdrawal,9,1261,282.9695
deposit,2,1262,31.9575
deposit,6,1263,161.4133
deposit,19,1264,454.1846
deposit,18,1265,505.4504
deposit,19,1266,225.8831
deposit,1,1267,4.4638
resolve,19,546
deposit,15,1269,292.3132
withdrawal,7,1270,339.9436
deposit,3,1271,9.0240
deposit,5,1272,33.8833
resolve,20,389
deposit,4,1274,3.7965
deposit,19,1275,599.2730
resolve,13,585
deposit,8,1277,14.3884
deposit,9,1278,447.5877
deposit,8,1279,181.4903
withdrawal,11,1280,233.8130
withdrawal,10,1281,66.7306
deposit,16,1282,243.6594
deposit,6,1283,345.6288
withdrawal,14,1284,13.1637
dispute,13,855
withdrawal,8,1286,92.8816
deposit,15,1287,117.6019
deposit,2,1288,7.2061
resolve,15,696
deposit,13,1290,107.9241
deposit,1,1291,8.9067
deposit,5,1292,34.3636
deposit,5,1293,11.0545
resolve,17,647
deposit,5,1295,18.3977
resolve,17,493
deposit,15,1297,358.8416
deposit,17,1298,398.9902
dispute,12,544
deposit,8,1300,214.0531
deposit,3,1301,47.4962
deposit,18,1302,158.0380
withdrawal,10,1303,201.5252
withdrawal,13,1304,276.4255
resolve,13,855
dispute,6,1044
resolve,16,710
deposit,2,1308,22.0454
deposit,5,1309,10.9628
withdrawal,6,1310,297.0781
deposit,8,1311,173.4343
deposit,10,1312,300.0448
deposit,20,1313,295.0448
withdrawal,16,1314,390.8392
deposit,4,1315,41.1634
deposit,7,1316,117.6866
withdrawal,17,1317,93.5708
dispute,16,1184
dispute,16,1079
withdrawal,9,1320,133.5402
dispute,14,171
dispute,9,659
deposit,6,1323,213.2141
deposit,4,1324,5.3226
withdrawal,14,1325,189.3773
deposit,2,1326,21.0969
deposit,2,1327,10.1368
deposit,7,1328,293.3574
withdrawal,20,1329,383.4382
deposit,6,1330,451.8744
deposit,8,1331,409.4469
deposit,1,1332,11.4915
resolve,11,111
deposit,12,1334,468.3997
deposit,6,1335,198.1579
withdrawal,15,1336,222.9739
deposit,10,1337,535.6323
deposit,4,1338,33.4974
withdrawal,17,1339,277.9482
withdrawal,11,1340,182.0759
deposit,15,1341,45.5962
withdrawal,15,1342,207.2254
dispute,10,1250
withdrawal,9,1344,138.9799
resolve,12,544
resolve,8,419
deposit,13,1347,131.8671
withdrawal,15,1348,126.5608
dispute,8,732
deposit,13,1350,105.3848
deposit,4,1351,19.2902
deposit,4,1352,34.1596
deposit,3,1353,10.9814
resolve,19,552
deposit,3,1355,26.0250
deposit,8,1356,453.2144
deposit,5,1357,12.2028
deposit,3,1358,7.0597
deposit,3,1359,18.4836
withdrawal,20,1360,215.3358
deposit,3,1361,10.3758
withdrawal,13,1362,15.6395
deposit,2,1363,15.4310
withdrawal,9,1364,177.4779
dispute,18,233
resolve,16,1184
deposit,19,1367,302.1075
deposit,15,1368,521.2670
deposit,6,1369,365.5563
deposit,10,1370,204.8444
dispute,17,1167
withdrawal,13,1372,267.0474
deposit,3,1373,48.2488
deposit,19,1374,176.6590
withdrawal,8,1375,201.6388
resolve,20,190
withdrawal,7,1377,357.6796
deposit,3,1378,21.9995
dispute,12,581
deposit,10,1380,106.9865
withdrawal,8,1381,258.4778
withdrawal,20,1382,83.4421
deposit,10,1383,175.8499
deposit,18,1384,225.1707
resolve,19,97
withdrawal,11,1386,185.2270
withdrawal,18,1387,44.2939
deposit,9,1388,235.4939
withdrawal,7,1389,259.6404
deposit,6,1390,501.5439
resolve,19,1055
deposit,4,1392,17.6380
deposit,3,1393,35.1448
deposit,9,1394,134.5001
withdrawal,6,1395,170.8076
dispute,17,211
deposit,15,1397,39.8698
deposit,9,1398,362.8165
dispute,10,261
dispute,7,7
deposit,7,1401,151.4193
deposit,3,1402,32.5204
withdrawal,18,1403,113.3818
deposit,14,1404,275.9480
dispute,15,567
deposit,1,1406,34.8638
withdrawal,9,1407,43.2283
deposit,7,1408,123.4365
dispute,11,354
deposit,1,1410,19.1680
deposit,5,1411,47.8787
deposit,17,1412,102.7789
deposit,5,1413,9.5273
resolve,7,7
withdrawal,9,1415,78.2104
withdrawal,11,1416,97.5177
deposit,4,1417,16.2593
deposit,6,1418,74.9996
deposit,14,1419,166.9800
resolve,12,581
deposit,11,1421,222.8229
deposit,12,1422,121.4236
deposit,13,1423,40.0007
deposit,7,1424,85.9122
deposit,16,1425,149.5220
withdrawal,17,1426,373.6806
withdrawal,18,1427,333.9277
resolve,17,1167
deposit,3,1429,32.8311
resolve,18,233
dispute,10,624
deposit,15,1432,226.2740
deposit,17,1433,433.3116
deposit,13,1434,255.1208
withdrawal,18,1435,160.3184
dispute,15,1269
deposit,2,1437,35.1163
deposit,10,1438,436.7988
resolve,10,624
deposit,4,1440,49.2227
deposit,11,1441,125.9585
withdrawal,12,1442,348.2243
dispute,8,947
deposit,18,1444,154.8013
resolve,9,659
resolve,6,272
withdrawal,18,1447,180.0331
withdrawal,20,1448,283.1523
dispute,6,1418
deposit,19,1450,88.6683
deposit,9,1451,482.6842
deposit,7,1452,130.8817
dispute,18,960
deposit,17,1454,468.5290
deposit,10,1455,268.8185
deposit,15,1456,355.2280
resolve,11,928
resolve,20,20
deposit,1,1459,48.0647
withdrawal,15,1460,223.1688
withdrawal,7,1461,220.0786
deposit,3,1462,16.7974
resolve,18,960
deposit,5,1464,46.9051
deposit,3,1465,9.7127
deposit,10,1466,496.0292
dispute,9,1225
deposit,6,1468,85.7420
deposit,4,1469,21.3043
deposit,6,1470,563.8429
resolve,15,567
resolve,12,247
resolve,20,406
deposit,5,1474,28.9050
dispute,12,939
resolve,9,1225
deposit,9,1477,460.2151
deposit,1,1478,44.1843
resolve,19,335
dispute,9,659
dispute,11,343
withdrawal,9,1482,336.6465
deposit,4,1483,21.0693
deposit,12,1484,561.7668
withdrawal,11,1485,222.9317
deposit,4,1486,27.0898
deposit,7,1487,195.5090
deposit,19,1488,572.3131
resolve,12,65
deposit,1,1490,23.8315
resolve,15,1269
dispute,14,877
dispute,10,1455
deposit,4,1494,36.8153
deposit,1,1495,37.4684
deposit,5,1496,20.6999
deposit,9,1497,475.1537
deposit,5,1498,15.1204
withdrawal,13,1499,385.4011
withdrawal,7,1500,50.7838
dispute,12,978
deposit,20,1502,84.5638
deposit,7,1503,219.1838
withdrawal,18,1504,221.5670
deposit,2,1505,46.7702
withdrawal,6,1506,104.3414
deposit,20,1507,406.0878
deposit,11,1508,103.1892
deposit,2,1509,40.8616
resolve,9,659
resolve,12,978
withdrawal,7,1512,54.3982
deposit,15,1513,471.7763
resolve,11,322
deposit,3,1515,6.7559
withdrawal,9,1516,143.8328
deposit,19,1517,106.0059
deposit,6,1518,195.2923
withdrawal,15,1519,115.2832
deposit,11,1520,94.3495
deposit,15,1521,565.8996
deposit,18,1522,210.0327
dispute,15,876
deposit,2,1524,32.8410
deposit,10,1525,344.8475
deposit,17,1526,136.2671
withdrawal,14,1527,76.0208
deposit,4,1528,19.2999
resolve,8,732
resolve,19,19
deposit,8,1531,406.3558
deposit,6,1532,263.2074
deposit,9,1533,27.2327
withdrawal,16,1534,399.7656
deposit,10,1535,132.5693
deposit,17,1536,72.2806
deposit,3,1537,17.5655
deposit,15,1538,71.2680
dispute,14,930
deposit,13,1540,108.7617
deposit,4,1541,49.1507
deposit,2,1542,17.7913
deposit,5,1543,8.0009
deposit,5,1544,14.7637
withdrawal,20,1545,376.7895
deposit,18,1546,365.8607
deposit,17,1547,559.4359
withdrawal,8,1548,87.2347
deposit,4,1549,3.5682
deposit,14,1550,587.6309
deposit,4,1551,31.4916
dispute,15,705
deposit,18,1553,484.5494
deposit,7,1554,194.4979
withdrawal,7,1555,309.0087
deposit,6,1556,24.7186
deposit,20,1557,409.9176
deposit,18,1558,591.6290
deposit,1,1559,16.2341
deposit,18,1560,87.2127
resolve,17,211
resolve,20,572
deposit,12,1563,158.7273
dispute,13,1540
dispute,18,25
dispute,17,996
withdrawal,20,1567,109.8552
resolve,15,876
deposit,5,1569,37.4688
withdrawal,13,1570,301.5923
deposit,3,1571,25.1780
withdrawal,9,1572,81.2333
withdrawal,7,1573,264.9491
resolve,17,996
deposit,5,1575,33.2211
deposit,1,1576,37.5248
withdrawal,9,1577,276.2356
deposit,1,1578,37.9577
deposit,18,1579,149.3980
dispute,7,1070
deposit,12,1581,544.6294
dispute,19,1038
withdrawal,15,1583,228.5981
deposit,17,1584,171.2949
deposit,11,1585,117.9511
deposit,20,1586,317.2926
deposit,6,1587,294.9136
deposit,16,1588,117.1894
withdrawal,7,1589,99.4208
withdrawal,14,1590,178.5972
deposit,4,1591,18.3197
deposit,2,1592,11.8163
withdrawal,8,1593,40.2558
deposit,2,1594,15.9714
deposit,10,1595,242.4773
deposit,12,1596,419.9910
withdrawal,20,1597,124.3238
resolve,18,25
deposit,11,1599,407.8051
dispute,18,927
deposit,6,1601,533.4476
deposit,4,1602,12.0472
dispute,12,228
dispute,20,274
withdrawal,19,1605,139.4564
withdrawal,14,1606,145.2847
resolve,8,947
deposit,1,1608,45.5422
withdrawal,7,1609,372.0273
deposit,4,1610,22.7619
deposit,5,1611,17.0449
dispute,7,1147
withdrawal,8,1613,171.8267
deposit,3,1614,17.6598
resolve,11,504
deposit,7,1616,27.8438
deposit,14,1617,527.8823
resolve,11,354
deposit,14,1619,200.0274
deposit,12,1620,91.0390
withdrawal,6,1621,152.2453
withdrawal,17,1622,68.8800
deposit,12,1623,599.9809
withdrawal,8,1624,240.7179
dispute,10,1535
dispute,20,1586
deposit,7,1627,256.5067
deposit,4,1628,32.3824
resolve,10,1535
deposit,4,1630,26.7822
deposit,3,1631,15.3471
dispute,13,349
withdrawal,14,1633,47.7326
deposit,9,1634,201.7865
dispute,11,687
dispute,8,147
deposit,18,1637,391.3790
withdrawal,9,1638,319.2150
deposit,7,1639,594.1895
resolve,16,1079
deposit,5,1641,8.0673
deposit,19,1642,557.6700
deposit,9,1643,314.0443
deposit,11,1644,94.6680
deposit,9,1645,475.8951
withdrawal,12,1646,334.7251
resolve,12,1112
deposit,4,1648,15.9676
deposit,5,1649,29.3257
deposit,11,1650,534.9539
resolve,11,748
deposit,1,1652,4.5668
deposit,4,1653,33.8269
deposit,9,1654,496.7916
withdrawal,12,1655,186.4267
withdrawal,11,1656,106.9526
deposit,16,1657,332.4408
withdrawal,18,1658,306.6089
deposit,3,1659,19.4901
resolve,19,1038
deposit,12,1661,33.3320
deposit,4,1662,30.0459
deposit,2,1663,8.6807
deposit,10,1664,430.2859
deposit,3,1665,42.9951
withdrawal,6,1666,174.1314
deposit,12,1667,235.1718
deposit,9,1668,246.8377
deposit,11,1669,401.1122
deposit,9,1670,232.0855
dispute,17,226
deposit,8,1672,165.0842
deposit,9,1673,355.2347
resolve,10,261
deposit,1,1675,46.8682
withdrawal,17,1676,200.5295
deposit,9,1677,146.8219
deposit,12,1678,573.7242
resolve,17,226
resolve,13,1540
deposit,5,1681,48.9172
withdrawal,19,1682,168.9305
deposit,7,1683,197.1190
deposit,5,1684,16.3432
deposit,20,1685,306.4652
deposit,11,1686,187.3695
deposit,17,1687,405.3615
deposit,9,1688,501.8202
deposit,9,1689,480.2952
deposit,1,1690,9.1151
resolve,12,228
withdrawal,11,1692,272.7804
dispute,15,15
deposit,5,1694,33.9468
resolve,10,1455
withdrawal,20,1696,6.3215
withdrawal,20,1697,26.5618
dispute,12,965
deposit,3,1699,12.0602
deposit,20,1700,392.5625
deposit,5,1701,21.8916
dispute,7,1503
deposit,4,1703,33.6068
withdrawal,12,1704,285.6586
deposit,5,1705,44.6439
resolve,14,877
deposit,5,1707,35.0204
dispute,9,659
withdrawal,7,1709,322.9987
withdrawal,16,1710,42.7514
deposit,3,1711,36.8224
deposit,2,1712,10.5489
deposit,19,1713,160.9002
resolve,13,349
deposit,4,1715,16.8661
deposit,5,1716,18.1623
deposit,1,1717,24.7764
deposit,9,1718,42.9589
deposit,4,1719,25.7360
deposit,7,1720,378.3947
deposit,14,1721,440.2036
deposit,6,1722,97.2079
dispute,9,1451
withdrawal,12,1724,239.2135
dispute,9,1398
resolve,15,705
withdrawal,8,1727,392.7081
deposit,17,1728,177.8784
deposit,8,1729,299.2862
dispute,12,1136
deposit,11,1731,389.5919
deposit,11,1732,26.4881
deposit,6,1733,75.1124
dispute,9,327
deposit,7,1735,348.4846
resolve,12,939
withdrawal,6,1737,332.7836
deposit,13,1738,22.1305
withdrawal,20,1739,256.9523
deposit,11,1740,216.1693
deposit,20,1741,268.0743
deposit,19,1742,312.8795
deposit,11,1743,14.7908
deposit,13,1744,184.7840
deposit,14,1745,263.4647
deposit,16,1746,593.1635
dispute,17,226
deposit,4,1748,1.4146
deposit,20,1749,290.2938
withdrawal,17,1750,40.5832
dispute,14,753
withdrawal,15,1752,308.6389
deposit,7,1753,467.9470
deposit,3,1754,17.5738
deposit,13,1755,103.4555
deposit,16,1756,424.2751
deposit,19,1757,54.6247
withdrawal,11,1758,158.6455
deposit,3,1759,8.7623
deposit,14,1760,180.7916
withdrawal,20,1761,198.0804
resolve,6,1418
withdrawal,6,1763,367.3426
deposit,15,1764,322.9247
dispute,17,493
resolve,8,147
withdrawal,8,1767,60.4254
deposit,13,1768,329.8692
resolve,9,1451
deposit,8,1770,213.3657
resolve,15,15
dispute,19,1038
dispute,20,450
deposit,9,1774,93.9627
dispute,16,608
deposit,14,1776,142.8989
deposit,9,1777,438.3846
deposit,1,1778,48.9795
deposit,4,1779,2.2170
resolve,17,493
deposit,5,1781,22.7082
deposit,5,1782,49.2483
dispute,10,220
resolve,9,659
resolve,18,927
resolve,19,1038
deposit,7,1787,495.8454
withdrawal,19,1788,250.7629
withdrawal,8,1789,301.2116
dispute,19,1264
deposit,3,1791,14.6155
deposit,5,1792,33.3748
deposit,1,1793,17.0041
dispute,20,425
deposit,12,1795,291.1081
dispute,18,25
deposit,4,1797,38.7011
dispute,20,1313
deposit,2,1799,17.1713
resolve,18,25
resolve,7,1147
deposit,2,1802,29.9588
deposit,1,1803,8.9515
deposit,7,1804,345.1529
resolve,10,1250
deposit,2,1806,16.6069
deposit,4,1807,4.9393
dispute,20,1140
dispute,20,767
deposit,9,1810,228.7776
deposit,19,1811,491.8222
deposit,16,1812,559.3759
deposit,15,1813,361.6181
deposit,5,1814,18.9138
deposit,2,1815,1.7556
deposit,3,1816,7.9739
resolve,14,753
deposit,14,1818,26.1247
deposit,13,1819,108.4202
deposit,3,1820,23.1759
deposit,2,1821,20.4801
dispute,9,1137
deposit,12,1823,139.8789
resolve,14,171
resolve,11,343
deposit,3,1826,46.9939
deposit,12,1827,64.8274
withdrawal,12,1828,19.4906
withdrawal,9,1829,178.5918
withdrawal,6,1830,52.7667
resolve,16,608
deposit,10,1832,572.9845
deposit,1,1833,36.0453
dispute,8,752
deposit,7,1835,464.4340
deposit,4,1836,13.7683
deposit,15,1837,144.4213
dispute,12,1795
dispute,10,701
deposit,5,1840,14.9788
withdrawal,12,1841,146.9996
withdrawal,8,1842,354.7684
deposit,2,1843,38.7988
deposit,11,1844,426.7536
deposit,12,1845,520.9696
deposit,5,1846,45.4505
deposit,13,1847,370.8898
dispute,11,1743
withdrawal,14,1849,359.7355
resolve,11,1743
deposit,1,1851,17.2755
withdrawal,12,1852,262.7180
resolve,11,311
dispute,17,1687
deposit,13,1855,421.5255
deposit,8,1856,250.4973
deposit,1,1857,2.2986
withdrawal,9,1858,213.7850
dispute,19,906
deposit,20,1860,597.8623
withdrawal,8,1861,258.9026
deposit,1,1862,22.3590
deposit,5,1863,15.0177
dispute,15,1521
deposit,15,1865,105.9599
resolve,14,930
deposit,19,1867,481.8900
withdrawal,13,1868,344.8334
deposit,4,1869,27.2288
deposit,2,1870,45.1157
withdrawal,18,1871,248.1498
deposit,13,1872,105.0541
withdrawal,16,1873,131.9334
deposit,2,1874,38.1739
deposit,11,1875,11.2481
withdrawal,15,1876,175.4617
deposit,16,1877,303.8603
dispute,19,402
resolve,12,1136
withdrawal,8,1880,61.7604
deposit,7,1881,559.0863
deposit,1,1882,43.4035
dispute,10,1260
deposit,12,1884,22.9913
deposit,2,1885,17.9035
deposit,5,1886,7.8288
deposit,1,1887,8.6227
deposit,5,1888,10.3166
withdrawal,14,1889,161.4584
deposit,9,1890,292.5033
withdrawal,20,1891,396.3591
dispute,15,728
deposit,14,1893,394.3744
dispute,13,1819
deposit,4,1895,16.4458
resolve,7,1503
resolve,8,752
deposit,3,1898,7.0337
deposit,20,1899,87.7165
deposit,3,1900,9.6246
deposit,9,1901,548.5037
dispute,17,734
deposit,20,1903,186.1800
deposit,5,1904,38.2534
deposit,15,1905,214.2853
withdrawal,19,1906,391.7181
resolve,12,1795
deposit,3,1908,39.6183
deposit,10,1909,474.9404
dispute,14,14
deposit,16,1911,22.9306
deposit,9,1912,280.5373
withdrawal,9,1913,183.0526
withdrawal,13,1914,92.8401
deposit,2,1915,24.6200
deposit,12,1916,25.9633
resolve,17,226
resolve,7,1070
withdrawal,8,1919,259.0555
withdrawal,7,1920,184.6853
withdrawal,15,1921,242.5114
deposit,14,1922,495.9939
deposit,18,1923,289.1698
resolve,9,1137
deposit,9,1925,565.9904
deposit,19,1926,370.4713
deposit,13,1927,113.8892
deposit,14,1928,412.8060
withdrawal,17,1929,390.8589
dispute,8,1100
dispute,18,266
withdrawal,19,1932,260.4548
withdrawal,20,1933,329.2620
resolve,19,906
deposit,3,1935,19.0015
deposit,3,1936,31.3502
dispute,13,726
deposit,9,1938,175.1327
deposit,4,1939,11.1464
deposit,16,1940,160.7632
dispute,16,1166
withdrawal,9,1942,136.4697
deposit,3,1943,1.4112
withdrawal,20,1944,96.8228
withdrawal,17,1945,86.0271
deposit,15,1946,197.2946
deposit,1,1947,47.7179
deposit,8,1948,388.5775
deposit,6,1949,369.0897
resolve,6,1044
withdrawal,8,1951,293.9845
resolve,20,1313
deposit,7,1953,435.3419
deposit,15,1954,398.8489
deposit,4,1955,26.2172
resolve,8,1100
deposit,4,1957,25.0783
deposit,13,1958,367.8312
deposit,1,1959,38.9651
dispute,18,633
resolve,13,1819
deposit,19,1962,356.7655
deposit,1,1963,48.3276
deposit,4,1964,39.4724
dispute,17,953
dispute,10,1595
deposit,7,1967,279.2871
withdrawal,17,1968,137.8915
deposit,11,1969,95.4957
dispute,6,203
deposit,2,1971,31.8873
deposit,15,1972,524.4140
deposit,1,1973,4.5927
withdrawal,20,1974,129.4479
withdrawal,20,1975,266.8212
withdrawal,6,1976,281.0509
deposit,11,1977,358.5283
deposit,18,1978,533.8527
deposit,16,1979,56.3186
deposit,7,1980,366.1038
deposit,11,1981,282.7772
deposit,8,1982,208.5657
deposit,17,1983,137.7836
resolve,19,402
deposit,19,1985,394.0638
deposit,15,1986,325.7987
withdrawal,20,1987,397.2479
withdrawal,13,1988,197.9354
withdrawal,14,1989,114.5675
dispute,13,1423
deposit,18,1991,258.3713
deposit,11,1992,308.8463
withdrawal,13,1993,85.7733
deposit,10,1994,386.0966
deposit,3,1995,35.6149
withdrawal,19,1996,161.3825
resolve,19,1264
deposit,8,1998,564.7392
deposit,18,1999,233.0599
deposit,16,2000,466.9553
resolve,20,450
deposit,10,2002,264.2926
resolve,12,965
deposit,3,2004,28.3146
deposit,2,2005,23.0313
dispute,7,1627
withdrawal,11,2007,101.2912
deposit,14,2008,140.2462
withdrawal,14,2009,329.1527
withdrawal,13,2010,80.9480
deposit,1,2011,3.1425
dispute,18,1546
deposit,3,2013,19.8409
deposit,17,2014,400.5958
dispute,17,211
deposit,9,2016,224.2532
deposit,1,2017,29.9802
deposit,1,2018,5.9759
deposit,8,2019,439.6327
deposit,20,2020,196.2719
deposit,3,2021,45.9377
dispute,19,1055
withdrawal,11,2023,210.6383
resolve,19,1055
withdrawal,18,2025,332.9151
resolve,20,1140
deposit,2,2027,48.0375
withdrawal,16,2028,333.4525
deposit,20,2029,106.7605
dispute,6,610
dispute,15,876
deposit,15,2032,267.5113
withdrawal,10,2033,301.8207
deposit,10,2034,277.5806
withdrawal,10,2035,148.5429
deposit,7,2036,278.9415
resolve,13,1423
withdrawal,20,2038,75.9377
deposit,5,2039,17.3760
deposit,10,2040,514.8688
withdrawal,9,2041,128.1984
withdrawal,14,2042,302.3555
deposit,8,2043,429.1456
deposit,14,2044,413.1359
dispute,11,311
deposit,12,2046,121.2907
deposit,16,2047,293.2505
deposit,1,2048,28.2066
resolve,14,14
withdrawal,11,2050,249.1711
deposit,9,2051,274.2649
deposit,6,2052,454.9262
resolve,17,953
withdrawal,15,2054,74.5771
deposit,6,2055,401.1232
deposit,4,2056,20.0570
deposit,19,2057,196.3660
resolve,17,1687
deposit,4,2059,39.6582
deposit,3,2060,19.6493
deposit,5,2061,28.5360
deposit,16,2062,277.0949
deposit,5,2063,26.5639
dispute,11,1520
deposit,18,2065,278.3106
resolve,9,327
deposit,4,2067,15.4982
deposit,2,2068,38.4198
deposit,20,2069,547.6024
dispute,12,1163
withdrawal,11,2071,217.3421
dispute,10,717
deposit,11,2073,502.9748
deposit,4,2074,34.5803
resolve,6,203
withdrawal,19,2076,381.9446
deposit,3,2077,49.5018
resolve,12,1163
withdrawal,16,2079,138.2095
withdrawal,7,2080,199.5429
deposit,19,2081,277.1364
deposit,1,2082,16.2455
deposit,9,2083,334.8194
deposit,3,2084,26.9379
deposit,19,2085,519.9954
deposit,4,2086,27.0431
withdrawal,13,2087,191.0420
dispute,19,1211
resolve,16,1166
deposit,6,2090,322.4531
deposit,2,2091,43.6906
deposit,17,2092,70.6319
resolve,15,728
withdrawal,12,2094,313.9775
withdrawal,7,2095,305.5071
deposit,3,2096,20.3407
resolve,13,726
dispute,19,1926
resolve,17,211
deposit,10,2100,443.8684
deposit,14,2101,341.5430
deposit,3,2102,3.8763
deposit,20,2103,573.3146
deposit,3,2104,26.1040
deposit,1,2105,12.1586
deposit,3,2106,45.4057
deposit,12,2107,521.3470
withdrawal,19,2108,45.0958
withdrawal,8,2109,88.9172
withdrawal,9,2110,60.3557
deposit,14,2111,502.9986
deposit,7,2112,284.5249
withdrawal,18,2113,170.8120
deposit,17,2114,226.6253
deposit,3,2115,3.9495
resolve,15,876
deposit,10,2117,235.9701
dispute,16,710
deposit,3,2119,30.9966
deposit,8,2120,296.2157
dispute,13,1855
resolve,10,1260
resolve,18,266
deposit,7,2124,229.6827
resolve,20,274
deposit,14,2126,218.8556
deposit,3,2127,21.6637
dispute,9,1278
resolve,19,1211
deposit,7,2130,291.2014
deposit,15,2131,49.0206
withdrawal,14,2132,326.2987
deposit,4,2133,30.4672
deposit,11,2134,41.0869
deposit,15,2135,586.6229
deposit,3,2136,3.9505
resolve,20,767
deposit,3,2138,23.4135
deposit,17,2139,204.0220
dispute,17,937
deposit,12,2141,407.0197
resolve,20,1586
deposit,12,2143,539.7479
dispute,13,1243
deposit,5,2145,42.8086
deposit,18,2146,260.7865
dispute,11,1203
deposit,5,2148,42.3535
withdrawal,10,2149,149.4261
deposit,4,2150,38.4245
resolve,16,710
dispute,8,1356
deposit,8,2153,139.7183
resolve,10,701
deposit,18,2155,430.2963
deposit,10,2156,535.9951
dispute,10,1380
deposit,3,2158,42.0074
withdrawal,13,2159,40.7719
dispute,18,238
withdrawal,12,2161,175.8370
dispute,6,380
deposit,1,2163,44.6625
deposit,2,2164,43.8202
deposit,1,2165,11.8705
withdrawal,8,2166,50.5586
dispute,20,1899
deposit,7,2168,414.3954
dispute,13,568
withdrawal,6,2170,341.1970
withdrawal,13,2171,314.8664
withdrawal,11,2172,161.8241
deposit,5,2173,17.6624
withdrawal,17,2174,209.7251
deposit,20,2175,254.7333
withdrawal,12,2176,236.8336
deposit,1,2177,23.9299
dispute,11,1599
resolve,17,734
withdrawal,19,2180,361.1758
withdrawal,18,2181,373.3526
deposit,12,2182,517.4964
deposit,4,2183,19.5488
resolve,18,1546
deposit,9,2185,360.7752
deposit,14,2186,119.1527
withdrawal,12,2187,148.9250
deposit,11,2188,417.7928
deposit,5,2189,33.9561
deposit,12,2190,398.5934
deposit,3,2191,4.8206
deposit,19,2192,172.6720
deposit,17,2193,80.1450
deposit,2,2194,12.4776
dispute,20,297
dispute,11,1981
withdrawal,12,2197,143.7245
dispute,15,2135
resolve,19,1926
deposit,16,2200,261.6245
deposit,4,2201,49.4347
deposit,3,2202,39.9756
deposit,11,2203,316.1376
deposit,8,2204,234.3687
withdrawal,14,2205,269.3380
resolve,13,1855
dispute,19,1867
deposit,4,2208,11.4176
deposit,19,2209,56.1929
deposit,2,2210,5.9236
deposit,11,2211,390.6525
withdrawal,8,2212,336.1311
deposit,11,2213,234.7834
withdrawal,20,2214,277.7205
deposit,16,2215,151.2539
withdrawal,16,2216,357.9323
dispute,15,876
deposit,6,2218,189.6518
